country,title,ourPlans,theirPlans,priceHoles,shapeHoles,ourFloorPerGb,ourFloorPlan,marketFloorPerGb,marketFloorProvider,marketFloorPlan,worstPriceHole,worstPriceHoleOurs,maxOurGb,maxOurDays
"canada","Канада","51","179","3","20","0.146","75GB/30d $10.96","0.283","Stellar","75GB/20d $21.23","eSIM.dog 5GB/60d $10.66","25GB/60d $25.41","75","60"
"turkey","Турция","46","139","0","29","0.084","50GB/15d $4.18","0.208","Stellar","10GB/20d $2.08","","","50","30"
"thailand","Таиланд","39","174","1","28","0.133","50GB/15d $6.63","0.296","Stellar","20GB/20d $5.92","Stellar 50GB/10d $6.21","50GB/10d $6.31","50","30"
"georgia","Грузия","38","122","0","20","0.107","20GB/15d $2.14","0.372","eSIM.dog","20GB/14d $7.45","","","50","30"
"vietnam","Вьетнам","38","152","0","23","0.082","50GB/15d $4.08","0.284","eSIM.dog","50GB/14d $14.19","","","50","30"
"japan","Япония","38","202","0","43","0.161","50GB/15d $8.03","0.295","Stellar","35GB/20d $10.34","","","50","30"
"uae","ОАЭ","38","121","0","34","0.257","50GB/15d $12.83","0.760","eSIM.dog","50GB/14d $37.98","","","50","30"
"italy","Италия","43","157","18","16","0.087","200GB/30d $17.34","0.220","Stellar","50GB/20d $10.99","eSIM.dog 10GB/31d $4.81","500GB/90d $36.84","500","90"
"spain","Испания","45","128","9","12","0.087","200GB/30d $17.34","0.211","Stellar","50GB/20d $10.55","eSIM.dog 10GB/31d $4.81","50GB/60d $9.18","500","90"
"usa","США","38","185","0","24","0.155","50GB/15d $7.74","0.375","Stellar","50GB/20d $18.75","","","50","30"
"france","Франция","45","117","9","12","0.087","200GB/30d $17.34","0.220","Stellar","50GB/20d $10.99","eSIM.dog 10GB/31d $4.81","50GB/60d $9.18","500","90"
"germany","Германия","40","127","17","12","0.087","200GB/30d $17.34","0.225","eSIM.dog","50GB/14d $11.23","eSIM.dog 3GB/90d $4.27","500GB/90d $36.84","500","90"
"uk","Британия","48","147","0","27","0.025","200GB/30d $4.97","0.213","eSIM.dog","50GB/20d $10.64","","","650","30"
"indonesia","Индонезия","38","158","0","24","0.112","50GB/15d $5.61","0.238","Stellar","50GB/20d $11.91","","","50","30"
"malaysia","Малайзия","38","152","0","24","0.112","50GB/15d $5.61","0.239","Stellar","50GB/20d $11.94","","","50","30"
"singapore","Сингапур","38","175","0","27","0.112","50GB/15d $5.61","0.239","Stellar","50GB/20d $11.94","","","50","30"
"mexico","Мексика","44","128","0","21","0.257","50GB/15d $12.83","0.762","Stellar","50GB/20d $38.11","","","50","30"
"egypt","Египет","38","114","0","18","0.217","10GB/15d $2.17","0.579","eSIM.dog","50GB/14d $28.96","","","50","30"
"greece","Греция","43","118","17","12","0.087","200GB/30d $17.34","0.225","eSIM.dog","50GB/14d $11.23","eSIM.dog 3GB/90d $4.28","500GB/90d $36.84","500","90"
"china","Китай","43","150","0","34","0.160","50GB/15d $8.00","0.331","eSIM.dog","30GB/15d $9.94","","","50","30"
