country,title,marketBest,marketBestProvider,oursBest,oursBestProvider,ratio,action
"canada","Канада","0.283","Stellar","0.283","Stellar","1","ок"
"turkey","Турция","0.189","eSIM.dog","0.191","Stellar","1.01","ок"
"thailand","Таиланд","0.288","Stellar","0.288","Stellar","1","ок"
"georgia","Грузия","0.372","eSIM.dog","0.609","Stellar","1.64","написать eSIM.dog"
"vietnam","Вьетнам","0.284","eSIM.dog","0.471","Stellar","1.66","написать eSIM.dog"
"japan","Япония","0.295","Stellar","0.295","Stellar","1","ок"
"uae","ОАЭ","0.76","eSIM.dog","0.952","Stellar","1.25","написать eSIM.dog"
"italy","Италия","0.215","Stellar","0.215","Stellar","1","ок"
"spain","Испания","0.206","Stellar","0.206","Stellar","1","ок"
"usa","США","0.374","eSIM.dog","0.375","Stellar","1","ок"
"france","Франция","0.215","Stellar","0.215","Stellar","1","ок"
"germany","Германия","0.225","eSIM.dog","0.239","Stellar","1.06","написать eSIM.dog"
"uk","Британия","0.213","eSIM.dog","0.239","Stellar","1.12","написать eSIM.dog"
"indonesia","Индонезия","0.233","Stellar","0.233","Stellar","1","ок"
"malaysia","Малайзия","0.238","eSIM.dog","0.239","Stellar","1","ок"
"singapore","Сингапур","0.238","eSIM.dog","0.239","Stellar","1","ок"
"mexico","Мексика","0.349","Stellar","0.349","Stellar","1","ок"
"egypt","Египет","0.58","eSIM.dog","0.766","Stellar","1.32","написать eSIM.dog"
"greece","Греция","0.225","eSIM.dog","0.281","Stellar","1.25","написать eSIM.dog"
"china","Китай","0.332","Stellar","0.332","Stellar","1","ок"
