country,provider,name,gb,days,usd,perGb,source
"canada","Stellar","Canada 75GB 30Days + Free Stellar VPN","75","30","20.26","0.27","stellar feed"
"canada","eSIM.dog","AMBER_CA_40GB_1D_D4BA1FB5B6","40","1","11.49","0.287","https://esim.dog/ca"
"canada","eSIM.dog","AMBER_CA_20GB_1D_0E1C7F6F54","20","1","5.99","0.299","https://esim.dog/ca"
"canada","eSIM.dog","AMBER_CA_50GB_1D_38DA232872","50","1","15.49","0.31","https://esim.dog/ca"
"canada","eSIM.dog","AMBER_CA_50GB_3D_5B4C571B59","50","3","17.62","0.352","https://esim.dog/ca"
"canada","Stellar","Canada 3GB 30Days + Free Stellar VPN","3","30","1.11","0.37","stellar feed"
"canada","eSIM.dog","AMBER_CA_30GB_1D_0EAB781114","30","1","11.49","0.383","https://esim.dog/ca"
"canada","eSIM.dog","AMBER_CA_40GB_2D_5851CEF9E8","40","2","15.49","0.387","https://esim.dog/ca"
"canada","eSIM.dog","AMBER_CA_40GB_3D_06F10BDB6E","40","3","15.49","0.387","https://esim.dog/ca"
"canada","eSIM.dog","AMBER_CA_15GB_1D_1F11391267","15","1","5.99","0.399","https://esim.dog/ca"
"canada","eSIM.dog","PMJ9AFZEP","75","30","32.24","0.43","https://esim.dog/ca"
"canada","eSIM.dog","AMBER_CA_50GB_5D_72CABAC00E","50","5","21.83","0.437","https://esim.dog/ca"
"canada","eSIM.dog","AMBER_CA_50GB_7D_FB7FCD4B64","50","7","21.83","0.437","https://esim.dog/ca"
"canada","eSIM.dog","AMBER_CA_50GB_10D_715F2A5B58","50","10","21.83","0.437","https://esim.dog/ca"
"canada","eSIM.dog","AMBER_CA_50GB_12D_9FEED99BA8","50","12","21.83","0.437","https://esim.dog/ca"
"canada","eSIM.dog","AMBER_CA_50GB_14D_7159D809D8","50","14","21.83","0.437","https://esim.dog/ca"
"canada","eSIM.dog","AMBER_CA_50GB_15D_800709BBA1","50","15","21.83","0.437","https://esim.dog/ca"
"canada","eSIM.dog","AMBER_CA_50GB_20D_31F6AE53A6","50","20","21.83","0.437","https://esim.dog/ca"
"canada","eSIM.dog","AMBER_CA_50GB_21D_2735D28D41","50","21","21.83","0.437","https://esim.dog/ca"
"canada","eSIM.dog","AMBER_CA_50GB_25D_9CBDA8745A","50","25","21.83","0.437","https://esim.dog/ca"
"canada","eSIM.dog","AMBER_CA_40GB_7D_4F8CD21DEF","40","7","17.62","0.441","https://esim.dog/ca"
"canada","eSIM.dog","AMBER_CA_40GB_10D_745665D6D5","40","10","17.62","0.441","https://esim.dog/ca"
"canada","eSIM.dog","AMBER_CA_40GB_20D_8AB77D9242","40","20","17.62","0.441","https://esim.dog/ca"
"canada","eSIM.dog","AMBER_CA_40GB_25D_67AC008597","40","25","17.62","0.441","https://esim.dog/ca"
"canada","eSIM.dog","PINK_1781057137939845_1","75","1","33.99","0.453","https://esim.dog/ca"
"canada","eSIM.dog","AMBER_CA_30GB_2D_D9519B9052","30","2","14.02","0.467","https://esim.dog/ca"
"canada","eSIM.dog","AMBER_CA_30GB_3D_3F1F20B371","30","3","14.02","0.467","https://esim.dog/ca"
"canada","eSIM.dog","AMBER_CA_30GB_4D_DC88F31E47","30","4","14.02","0.467","https://esim.dog/ca"
"canada","eSIM.dog","AMBER_CA_30GB_5D_63938F22A6","30","5","14.02","0.467","https://esim.dog/ca"
"canada","eSIM.dog","AMBER_CA_30GB_6D_0AB2791CD5","30","6","14.02","0.467","https://esim.dog/ca"
"canada","eSIM.dog","AMBER_CA_30GB_7D_B83125DFF5","30","7","14.02","0.467","https://esim.dog/ca"
"canada","eSIM.dog","AMBER_CA_30GB_9D_67F33621C4","30","9","14.02","0.467","https://esim.dog/ca"
"canada","eSIM.dog","AMBER_CA_30GB_10D_CD5D4FF4D0","30","10","14.02","0.467","https://esim.dog/ca"
"canada","eSIM.dog","AMBER_CA_30GB_14D_C73703AECE","30","14","14.02","0.467","https://esim.dog/ca"
"canada","eSIM.dog","AMBER_CA_30GB_15D_D64E63E8AF","30","15","14.02","0.467","https://esim.dog/ca"
"canada","eSIM.dog","AMBER_CA_30GB_20D_7A4F9DD5D4","30","20","14.02","0.467","https://esim.dog/ca"
"canada","eSIM.dog","AMBER_CA_30GB_25D_336F2A54B1","30","25","14.02","0.467","https://esim.dog/ca"
"canada","eSIM.dog","AMBER_CA_30GB_30D_48A5ED4634","30","30","14.02","0.467","https://esim.dog/ca"
"canada","eSIM.dog","AMBER_CA_12GB_1D_8092795F0F","12","1","5.99","0.499","https://esim.dog/ca"
"canada","Stellar","Canada 50GB 30Days + Free Stellar VPN","50","30","25.1","0.502","stellar feed"
"canada","eSIM.dog","AMBER_CA_20GB_3D_F109F51F71","20","3","10.12","0.506","https://esim.dog/ca"
"canada","eSIM.dog","AMBER_CA_20GB_5D_62DCAE85E2","20","5","10.12","0.506","https://esim.dog/ca"
"canada","eSIM.dog","AMBER_CA_20GB_7D_8431E34A91","20","7","10.12","0.506","https://esim.dog/ca"
"canada","eSIM.dog","AMBER_CA_20GB_10D_E9DBB717C7","20","10","10.12","0.506","https://esim.dog/ca"
"canada","eSIM.dog","AMBER_CA_20GB_12D_D1644D84D2","20","12","10.12","0.506","https://esim.dog/ca"
"canada","eSIM.dog","AMBER_CA_20GB_14D_AB8695F9B8","20","14","10.12","0.506","https://esim.dog/ca"
"canada","eSIM.dog","AMBER_CA_20GB_15D_F466118F37","20","15","10.12","0.506","https://esim.dog/ca"
"canada","eSIM.dog","AMBER_CA_20GB_20D_8A89631B1E","20","20","10.12","0.506","https://esim.dog/ca"
"canada","eSIM.dog","AMBER_CA_20GB_21D_5CA1B00CB0","20","21","10.12","0.506","https://esim.dog/ca"
"canada","eSIM.dog","AMBER_CA_20GB_25D_F0AB20E458","20","25","10.12","0.506","https://esim.dog/ca"
"canada","eSIM.dog","AMBER_CA_20GB_30D_A8F6242D84","20","30","10.12","0.506","https://esim.dog/ca"
"canada","Stellar","Canada 45GB 30Days + Free Stellar VPN","45","30","22.87","0.508","stellar feed"
"canada","Stellar","Canada 42GB 30Days + Free Stellar VPN","42","30","21.52","0.512","stellar feed"
"canada","Stellar","Canada 40GB 30Days + Free Stellar VPN","40","30","20.6","0.515","stellar feed"
"canada","Stellar","Canada 38GB 30Days + Free Stellar VPN","38","30","19.72","0.519","stellar feed"
"canada","Stellar","Canada 35GB 30Days + Free Stellar VPN","35","30","18.4","0.526","stellar feed"
"canada","Stellar","Canada 48GB 30Days + Free Stellar VPN","48","30","25.46","0.53","stellar feed"
"canada","Stellar","Canada 32GB 30Days + Free Stellar VPN","32","30","17.03","0.532","stellar feed"
"canada","Stellar","Canada 30GB 30Days + Free Stellar VPN","30","30","16.11","0.537","stellar feed"
"canada","eSIM.dog","AMBER_CA_15GB_2D_1364919860","15","2","8.19","0.546","https://esim.dog/ca"
"canada","eSIM.dog","AMBER_CA_15GB_3D_CCEC893FF7","15","3","8.19","0.546","https://esim.dog/ca"
"canada","eSIM.dog","AMBER_CA_15GB_7D_37FAE248DF","15","7","8.19","0.546","https://esim.dog/ca"
"canada","eSIM.dog","AMBER_CA_15GB_30D_7E57AE0659","15","30","8.19","0.546","https://esim.dog/ca"
"canada","eSIM.dog","AMBER_CA_12GB_2D_9138D2B12D","12","2","6.71","0.559","https://esim.dog/ca"
"canada","eSIM.dog","AMBER_CA_12GB_3D_8880ACBB6D","12","3","6.71","0.559","https://esim.dog/ca"
"canada","eSIM.dog","AMBER_CA_12GB_10D_0120F35824","12","10","6.71","0.559","https://esim.dog/ca"
"canada","eSIM.dog","AMBER_CA_12GB_20D_E6FE7B8DD4","12","20","6.71","0.559","https://esim.dog/ca"
"canada","eSIM.dog","AMBER_CA_12GB_30D_A3279CBE7B","12","30","6.71","0.559","https://esim.dog/ca"
"canada","eSIM.dog","AMBER_CA_10GB_3D_B2372A1563","10","3","5.73","0.573","https://esim.dog/ca"
"canada","Stellar","Canada 20GB 30Days + Free Stellar VPN","20","30","11.63","0.582","stellar feed"
"canada","eSIM.dog","BLACK_CA_E81E673609","9","1","5.25","0.583","https://esim.dog/ca"
"canada","eSIM.dog","AMBER_CA_5GB_1D_4B42228264","5","1","2.99","0.598","https://esim.dog/ca"
"canada","eSIM.dog","AMBER_CA_7GB_2D_1A9D74132E","7","2","4.3","0.614","https://esim.dog/ca"
